experiment_id,student_id,problem_id,problem_part,scaffold_id,experiment_tag_path,action,timestamp,assistments_reference_action_log_id
PSAH9CV,174361,,,,,assignment_started,2020-04-15 15:26:46.423000+00:00,86608256
PSAH9CV,174361,PRAVB94,1.0,,Understanding Vocabulary About Circles G-C.A.2 EX/C PSAH9CV [control],problem_started,2020-04-15 15:26:47.175000+00:00,86608259
PSAH9CV,174361,PRAVB94,1.0,,Understanding Vocabulary About Circles G-C.A.2 EX/C PSAH9CV [control],correct_response,2020-04-15 15:27:20.809000+00:00,86611404
PSAH9CV,174361,PRAVB94,1.0,,Understanding Vocabulary About Circles G-C.A.2 EX/C PSAH9CV [control],problem_finished,2020-04-15 15:27:20.820000+00:00,86611584
PSAH9CV,174361,,,,Understanding Vocabulary About Circles G-C.A.2 EX/C PSAH9CV [control],continue_selected,2020-04-15 15:27:22.742000+00:00,86611585
PSAH9CV,174361,PRAV3CD,1.0,,Understanding Vocabulary About Circles G-C.A.2 EX/C PSAH9CV [control],problem_started,2020-04-15 15:27:22.898000+00:00,86611586
PSAH9CV,174361,PRAV3CD,1.0,,Understanding Vocabulary About Circles G-C.A.2 EX/C PSAH9CV [control],correct_response,2020-04-15 15:27:40.498000+00:00,86613145
PSAH9CV,174361,PRAV3CD,1.0,,Understanding Vocabulary About Circles G-C.A.2 EX/C PSAH9CV [control],problem_finished,2020-04-15 15:27:40.506000+00:00,86613426
PSAH9CV,174361,,,,Understanding Vocabulary About Circles G-C.A.2 EX/C PSAH9CV [control],continue_selected,2020-04-15 15:27:43.799000+00:00,86613427
PSAH9CV,174361,PRAVCAM,1.0,,Understanding Vocabulary About Circles G-C.A.2 EX/C PSAH9CV [control],problem_started,2020-04-15 15:27:43.955000+00:00,86613428
PSAH9CV,174361,PRAVCAM,1.0,,Understanding Vocabulary About Circles G-C.A.2 EX/C PSAH9CV [control],correct_response,2020-04-15 15:27:59.545000+00:00,86614827
PSAH9CV,174361,PRAVCAM,1.0,,Understanding Vocabulary About Circles G-C.A.2 EX/C PSAH9CV [control],problem_finished,2020-04-15 15:27:59.554000+00:00,86615009
PSAH9CV,174361,,,,Understanding Vocabulary About Circles G-C.A.2 EX/C PSAH9CV [control],continue_selected,2020-04-15 15:28:01.410000+00:00,86615010
PSAH9CV,174361,PRAV32A,1.0,,Understanding Vocabulary About Circles G-C.A.2 EX/C PSAH9CV [control],problem_started,2020-04-15 15:28:01.589000+00:00,86615011
PSAH9CV,174361,PRAV32A,1.0,,Understanding Vocabulary About Circles G-C.A.2 EX/C PSAH9CV [control],correct_response,2020-04-15 15:28:05.925000+00:00,86615391
PSAH9CV,174361,PRAV32A,1.0,,Understanding Vocabulary About Circles G-C.A.2 EX/C PSAH9CV [control],problem_finished,2020-04-15 15:28:05.931000+00:00,86615551
PSAH9CV,174361,,,,Understanding Vocabulary About Circles G-C.A.2 EX/C PSAH9CV [control],continue_selected,2020-04-15 15:28:07.288000+00:00,86615552
PSAH9CV,174361,PRAVCBD,1.0,,Understanding Vocabulary About Circles G-C.A.2 EX/C PSAH9CV [control],problem_started,2020-04-15 15:28:07.427000+00:00,86615553
PSAH9CV,174361,PRAVCBD,1.0,,Understanding Vocabulary About Circles G-C.A.2 EX/C PSAH9CV [control],correct_response,2020-04-15 15:28:23.215000+00:00,86616898
PSAH9CV,174361,PRAVCBD,1.0,,Understanding Vocabulary About Circles G-C.A.2 EX/C PSAH9CV [control],problem_finished,2020-04-15 15:28:23.220000+00:00,86617036
PSAH9CV,174361,,,,Understanding Vocabulary About Circles G-C.A.2 EX/C PSAH9CV [control],continue_selected,2020-04-15 15:28:24.451000+00:00,86617037
PSAH9CV,174361,PRAV3Z6,1.0,,Understanding Vocabulary About Circles G-C.A.2 EX/C PSAH9CV [control],problem_started,2020-04-15 15:28:24.632000+00:00,86617038
PSAH9CV,174361,PRAV3Z6,1.0,,Understanding Vocabulary About Circles G-C.A.2 EX/C PSAH9CV [control],correct_response,2020-04-15 15:28:27.567000+00:00,86617284
PSAH9CV,174361,PRAV3Z6,1.0,,Understanding Vocabulary About Circles G-C.A.2 EX/C PSAH9CV [control],problem_finished,2020-04-15 15:28:27.573000+00:00,86617306
PSAH9CV,174361,,,,,assignment_finished,2020-04-15 15:28:27.726000+00:00,86617308
PSAH9CV,174470,,,,,assignment_started,2020-04-13 15:45:41.814000+00:00,81223507
PSAH9CV,174470,PRAVB94,1.0,,Understanding Vocabulary About Circles G-C.A.2 EX/E PSAH9CV [treatment],problem_started,2020-04-13 15:45:42.528000+00:00,81223510
PSAH9CV,174470,PRAVB94,1.0,,Understanding Vocabulary About Circles G-C.A.2 EX/E PSAH9CV [treatment],correct_response,2020-04-13 15:46:05.777000+00:00,81225325
PSAH9CV,174470,PRAVB94,1.0,,Understanding Vocabulary About Circles G-C.A.2 EX/E PSAH9CV [treatment],problem_finished,2020-04-13 15:46:05.788000+00:00,81225465
PSAH9CV,174470,,,,Understanding Vocabulary About Circles G-C.A.2 EX/E PSAH9CV [treatment],continue_selected,2020-04-13 15:46:07.301000+00:00,81225466
PSAH9CV,174470,PRAVXZY,1.0,,Understanding Vocabulary About Circles G-C.A.2 EX/E PSAH9CV [treatment],problem_started,2020-04-13 15:46:07.457000+00:00,81225467
PSAH9CV,174470,PRAVXZY,1.0,,Understanding Vocabulary About Circles G-C.A.2 EX/E PSAH9CV [treatment],correct_response,2020-04-13 15:46:17.638000+00:00,81226298
PSAH9CV,174470,PRAVXZY,1.0,,Understanding Vocabulary About Circles G-C.A.2 EX/E PSAH9CV [treatment],problem_finished,2020-04-13 15:46:17.644000+00:00,81226456
PSAH9CV,174470,,,,Understanding Vocabulary About Circles G-C.A.2 EX/E PSAH9CV [treatment],continue_selected,2020-04-13 15:46:19.342000+00:00,81226458
PSAH9CV,174470,PRAVCAM,1.0,,Understanding Vocabulary About Circles G-C.A.2 EX/E PSAH9CV [treatment],problem_started,2020-04-13 15:46:19.528000+00:00,81226460
PSAH9CV,174470,PRAVCAM,1.0,,Understanding Vocabulary About Circles G-C.A.2 EX/E PSAH9CV [treatment],wrong_response,2020-04-13 15:46:46.061000+00:00,81228548
PSAH9CV,174470,PRAVCAM,1.0,,Understanding Vocabulary About Circles G-C.A.2 EX/E PSAH9CV [treatment],wrong_response,2020-04-13 15:46:56.372000+00:00,81230226
PSAH9CV,174470,PRAVCAM,1.0,,Understanding Vocabulary About Circles G-C.A.2 EX/E PSAH9CV [treatment],correct_response,2020-04-13 15:47:08.882000+00:00,81230594
PSAH9CV,174470,PRAVCAM,1.0,,Understanding Vocabulary About Circles G-C.A.2 EX/E PSAH9CV [treatment],problem_finished,2020-04-13 15:47:08.889000+00:00,81230595
PSAH9CV,174470,,,,Understanding Vocabulary About Circles G-C.A.2 EX/E PSAH9CV [treatment],continue_selected,2020-04-13 15:47:10.205000+00:00,81230596
PSAH9CV,174470,PRAVXZX,1.0,,Understanding Vocabulary About Circles G-C.A.2 EX/E PSAH9CV [treatment],problem_started,2020-04-13 15:47:10.341000+00:00,81230597
PSAH9CV,174470,PRAVXZX,1.0,,Understanding Vocabulary About Circles G-C.A.2 EX/E PSAH9CV [treatment],correct_response,2020-04-13 15:47:17.785000+00:00,81231139
PSAH9CV,174470,PRAVXZX,1.0,,Understanding Vocabulary About Circles G-C.A.2 EX/E PSAH9CV [treatment],problem_finished,2020-04-13 15:47:17.790000+00:00,81231258
PSAH9CV,174470,,,,Understanding Vocabulary About Circles G-C.A.2 EX/E PSAH9CV [treatment],continue_selected,2020-04-13 15:47:19.316000+00:00,81231259
PSAH9CV,174470,PRAVCBD,1.0,,Understanding Vocabulary About Circles G-C.A.2 EX/E PSAH9CV [treatment],problem_started,2020-04-13 15:47:19.496000+00:00,81231260
PSAH9CV,174470,PRAVCBD,1.0,,Understanding Vocabulary About Circles G-C.A.2 EX/E PSAH9CV [treatment],correct_response,2020-04-13 15:47:26.866000+00:00,81231778
PSAH9CV,174470,PRAVCBD,1.0,,Understanding Vocabulary About Circles G-C.A.2 EX/E PSAH9CV [treatment],problem_finished,2020-04-13 15:47:26.874000+00:00,81231928
PSAH9CV,174470,,,,Understanding Vocabulary About Circles G-C.A.2 EX/E PSAH9CV [treatment],continue_selected,2020-04-13 15:47:28.350000+00:00,81231929
PSAH9CV,174470,PRAVXZW,1.0,,Understanding Vocabulary About Circles G-C.A.2 EX/E PSAH9CV [treatment],problem_started,2020-04-13 15:47:28.512000+00:00,81231931
PSAH9CV,174470,PRAVXZW,1.0,,Understanding Vocabulary About Circles G-C.A.2 EX/E PSAH9CV [treatment],correct_response,2020-04-13 15:47:37.034000+00:00,81232612
PSAH9CV,174470,PRAVXZW,1.0,,Understanding Vocabulary About Circles G-C.A.2 EX/E PSAH9CV [treatment],problem_finished,2020-04-13 15:47:37.040000+00:00,81232731
PSAH9CV,174470,,,,Understanding Vocabulary About Circles G-C.A.2 EX/E PSAH9CV [treatment],continue_selected,2020-04-13 15:47:38.505000+00:00,81232732
PSAH9CV,174470,PRAVB9K,1.0,,Understanding Vocabulary About Circles G-C.A.2 EX/E PSAH9CV [treatment],problem_started,2020-04-13 15:47:38.681000+00:00,81232733
PSAH9CV,174470,PRAVB9K,1.0,,Understanding Vocabulary About Circles G-C.A.2 EX/E PSAH9CV [treatment],correct_response,2020-04-13 15:48:13.796000+00:00,81235600
